Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded,Total Turnover (my image Lac),No. of Trades
532719,BLKASHYAP,T,5.56,5.56,5.15,5.15,2005,0.10,6
522241,MMFL,B,185.00,187.95,185.00,187.95,46,0.09,2
540497,SCHAND,B,45.25,45.25,45.25,45.25,186,0.08,4
506074,ARSHIYA,B,9.96,10.10,9.96,10.10,570,0.06,9
533553,TDPOWERSYS,B,90.75,90.75,89.85,90.65,54,0.05,14
505744,FMGOETZE,B,357.00,360.00,357.00,360.00,13,0.05,4
538685,SHEMAROO,B,74.25,74.25,74.25,74.25,56,0.04,2
533284,RPPINFRA,B,48.00,48.00,43.25,47.00,54,0.03,3
522029,WINDMACHIN,T,11.49,11.92,11.49,11.50,152,0.02,3
524013,HINFLUR,B,3.67,3.67,3.67,3.67,149,0.01,2
511726,VIPUL,B,17.60,17.60,17.60,17.60,19,0.00,2
534312,MTEDUCARE,B,8.94,8.94,8.94,8.94,1,0.00,1
540680,KIOCL,B,78.75,78.75,78.75,78.75,6,0.00,1
